Category,Sub-Category,transactions,total_revenue,total_profit,margin_pct,loss_transactions
Furniture,Tables,319,206965.53,-17725.48,-8.56,203.0
Furniture,Bookcases,228,114880.0,-3472.56,-3.02,109.0
Office Supplies,Supplies,190,46673.54,-1189.1,-2.55,33.0
Office Supplies,Fasteners,217,3024.28,949.52,31.4,12.0
Technology,Machines,115,189238.63,3384.76,1.79,44.0
Office Supplies,Labels,364,12486.31,5546.25,44.42,0.0
Office Supplies,Art,796,27118.79,6527.79,24.07,0.0
Office Supplies,Envelopes,254,16476.4,6964.18,42.27,0.0
Furniture,Furnishings,957,91705.16,13059.14,14.24,167.0
Office Supplies,Appliances,466,107532.16,18138.01,16.87,67.0
